ID,Away,Home,Fair,Market,Edge,Kelly,Pick,Result,Notes
G1,Pistons,Hornets,6.31,2.5,3.81,3.02%,Pistons,WIN,Final Score: Pistons 110 - Hornets 104
G2,Bulls,Nets,-15.91,3.5,19.41,9.26%,Nets,WIN,Final Score: Bulls 115 - Nets 123
G3,Jazz,Heat,-8.51,-5.5,3.01,2.39%,Heat,LOSS,Final Score: Jazz 115 - Heat 111
G4,Bucks,Magic,7.13,-9.5,16.63,9.26%,Bucks,LOSS,Final Score: Bucks 99 - Magic 118
G5,Hawks,Timberwolves,3.47,-8.5,11.97,9.26%,Hawks,LOSS,Final Score: Hawks 116 - Timberwolves 138
G6,Kings,Pelicans,10.71,-9.5,20.21,9.26%,Kings,LOSS,Final Score: Kings 94 - Pelicans 120
G7,Cavaliers,Nuggets,-2.22,1.5,3.72,2.95%,Nuggets,LOSS,Final Score: Cavaliers 119 - Nuggets 117
G8,Grizzlies,Warriors,-13.67,-9.5,4.17,3.31%,Warriors,WIN,Final Score: Grizzlies 113 - Warriors 114
G9,Thunder,Lakers,3.99,6.5,2.51,2.0%,Lakers,LOSS,Final Score: Thunder 119 - Lakers 110
G10,76ers,Trail Blazers,-7.13,2.5,9.63,7.6%,Trail Blazers,WIN,Final Score: 76ers 118 - Trail Blazers 135
G10,76ers,Trail Blazers,-7.13,2.5,9.63,7.6%,Trail Blazers,WIN,Final Score: 76ers 118 - Trail Blazers 135
